timestamp,mid_price,spread,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,imbalance
11,247.27561113437804,0.032367893756088506,247.2594271875,2.0,247.0121677603125,2.0,246.5795255775912,2.0,246.05409840917773,2.0,,,247.29179508125608,2.0,247.81924164384355,2.0,248.25405900093753,2.0,249.12412875,2.0,249.2503125,1.0,-0.058823529411764705
12,247.1519814207843,0.27962732094357534,247.0121677603125,2.0,246.5795255775912,2.0,246.05409840917773,2.0,245.7919574675718,2.0,,,247.29179508125608,2.0,247.81924164384355,2.0,248.25405900093753,2.0,249.12412875,2.0,249.2503125,1.0,-0.058823529411764705
13,248.6022627887956,4.045474422408802,246.5795255775912,2.0,246.05409840917773,2.0,245.7919574675718,2.0,245.6690695322596,2.0,,,250.625,5.0,,,,,,,,,0.23076923076923078
14,248.9751661829788,1.2430113139439527,248.35366052600682,2.0,246.5795255775912,2.0,246.05409840917773,2.0,245.7919574675718,2.0,245.6690695322596,2.0,249.59667183995077,2.0,250.625,5.0,,,,,,,0.17647058823529413
15,249.4893302630034,2.27133947399318,248.35366052600682,2.0,246.5795255775912,2.0,246.05409840917773,2.0,245.7919574675718,2.0,245.6690695322596,2.0,250.625,4.0,,,,,,,,,0.42857142857142855
16,250.11953746406743,1.0109250718651026,249.6140749281349,2.0,248.35366052600682,2.0,246.5795255775912,2.0,246.05409840917773,2.0,245.7919574675718,2.0,250.625,4.0,250.86152157944994,2.0,,,,,,,0.25
17,249.4893302630034,2.27133947399318,248.35366052600682,1.0,246.5795255775912,2.0,246.05409840917773,2.0,245.7919574675718,2.0,245.6690695322596,2.0,250.625,4.0,250.86152157944994,2.0,,,,,,,0.2
18,249.42047405503115,2.1336270580486314,248.35366052600682,1.0,246.5795255775912,2.0,246.05409840917773,2.0,245.7919574675718,2.0,245.6690695322596,2.0,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,,,,,0.058823529411764705
19,247.98034647238404,4.3767780096244735,245.7919574675718,1.0,245.6690695322596,2.0,,,,,,,250.16873547719626,2.0,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,,,-0.5384615384615384
20,245.6690695322596,0.0,,,,,,,,,,,247.73236612591168,2.0,250.16873547719626,2.0,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,-1.0
21,250.16873547719626,0.0,,,,,,,,,,,250.16873547719626,1.0,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,,,-1.0
22,249.0429761675489,1.5582027630800326,248.26387478600887,1.0,,,,,,,,,249.8220775490889,1.0,250.16873547719626,1.0,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,-0.8181818181818182
23,248.5345853378313,0.5414211036448648,248.26387478600887,1.0,247.0392696599361,1.0,,,,,,,248.80529588965373,1.0,249.8220775490889,1.0,250.16873547719626,1.0,250.48728758405545,2.0,250.625,4.0,-0.6363636363636364
24,248.28234604110776,0.03694251019780381,248.26387478600887,1.0,247.0392696599361,1.0,246.53154211141543,1.0,,,,,248.30081729620667,1.0,248.80529588965373,1.0,249.8220775490889,1.0,250.16873547719626,1.0,250.48728758405545,2.0,-0.3333333333333333
25,246.53154211141543,0.0,,,,,,,,,,,248.30081729620667,1.0,248.80529588965373,1.0,249.8220775490889,1.0,250.16873547719626,1.0,250.48728758405545,2.0,-1.0
26,245.05235285874693,1.7531665167188635,244.1757696003875,1.0,,,,,,,,,245.92893611710636,1.0,248.30081729620667,1.0,248.80529588965373,1.0,249.8220775490889,1.0,250.16873547719626,1.0,-0.6666666666666666
27,246.49053274502063,4.629526289266238,244.1757696003875,1.0,242.69978289566606,1.0,,,,,,,248.80529588965373,1.0,249.8220775490889,1.0,250.16873547719626,1.0,250.48728758405545,2.0,250.625,4.0,-0.6363636363636364
28,246.49053274502063,4.629526289266238,244.1757696003875,1.0,242.69978289566606,1.0,,,,,,,248.80529588965373,1.0,249.8220775490889,1.0,250.16873547719626,1.0,250.48728758405545,2.0,250.625,4.0,-0.6363636363636364
29,242.69978289566606,0.0,,,,,,,,,,,246.2841839052263,1.0,248.80529588965373,1.0,249.8220775490889,1.0,250.16873547719626,1.0,250.48728758405545,2.0,-1.0
30,245.26186663998112,9.813737674430286,240.35499780276598,1.0,,,,,,,,,250.16873547719626,1.0,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,,,-0.8
31,245.26186663998112,9.813737674430286,240.35499780276598,1.0,,,,,,,,,250.16873547719626,1.0,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,,,-0.8
32,240.35499780276598,0.0,,,,,,,,,,,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,,,,,-1.0
33,238.44708863593627,0.0,,,,,,,,,,,240.34006698717354,1.0,250.48728758405545,2.0,250.625,4.0,250.86152157944994,2.0,,,-1.0
34,243.50466154724324,14.240676905513538,236.38432309448646,1.0,,,,,,,,,250.625,2.0,250.86152157944994,2.0,,,,,,,-0.6
35,236.38432309448646,0.0,,,,,,,,,,,244.1536398545252,1.0,250.625,2.0,250.86152157944994,2.0,,,,,-1.0
36,242.6828122624,15.884375475199988,234.7406245248,1.0,,,,,,,,,250.625,2.0,250.86152157944994,2.0,,,,,,,-0.6
37,234.7406245248,0.0,,,,,,,,,,,243.4865353880199,1.0,250.625,2.0,250.86152157944994,2.0,,,,,-1.0
38,234.15377296348802,2.418392409632645,232.9445767586717,1.0,,,,,,,,,235.36296916830435,1.0,243.4865353880199,1.0,250.625,2.0,250.86152157944994,2.0,,,-0.7142857142857143
39,233.90050871833233,1.911863919321263,232.9445767586717,1.0,232.28033638416565,1.0,,,,,,,234.85644067799296,1.0,235.36296916830435,1.0,243.4865353880199,1.0,250.625,2.0,250.86152157944994,2.0,-0.5555555555555556
