timestamp,price,quantity,buyer_id,seller_id,is_toxic,buyer_type,seller_type
8622,843.4775891491681,1,14,1,False,uninformed,market_maker
8622,845.1675264911785,1,14,1,False,uninformed,market_maker
8622,851.6260966485688,1,14,1,False,uninformed,market_maker
8624,848.4511459411067,1,4,1,True,informed,market_maker
8624,852.562498499597,1,4,1,True,informed,market_maker
8624,852.7327706147801,1,4,1,True,informed,market_maker
8624,852.7376033695085,1,4,1,True,informed,market_maker
8626,858.7346487245318,1,5,1,False,uninformed,market_maker
8626,860.0680790208734,1,5,1,False,uninformed,market_maker
8628,859.5390640418011,1,1,9,False,market_maker,uninformed
8628,857.4114447658526,1,1,9,False,market_maker,uninformed
8628,850.5273906575759,1,1,9,False,market_maker,uninformed
8629,863.7399982199507,1,11,1,False,uninformed,market_maker
8629,867.0250536709984,1,11,1,False,uninformed,market_maker
8629,869.2085256411419,1,11,1,False,uninformed,market_maker
8633,876.1395126482029,1,11,1,False,uninformed,market_maker
8633,878.3682920923162,1,11,1,False,uninformed,market_maker
8633,879.4439051019413,1,11,1,False,uninformed,market_maker
8635,873.8558183417778,1,1,10,False,market_maker,uninformed
8635,870.3358146736491,1,1,10,False,market_maker,uninformed
8635,879.978115773775,1,14,1,False,uninformed,market_maker
8635,883.459367827436,1,14,1,False,uninformed,market_maker
8636,883.958676305533,1,1,6,False,market_maker,uninformed
8640,886.0357642800171,1,14,1,False,uninformed,market_maker
8640,889.1677301915711,1,14,1,False,uninformed,market_maker
8640,890.0277342919586,1,14,1,False,uninformed,market_maker
8641,890.700945677136,1,12,1,False,uninformed,market_maker
8641,891.4648163795416,1,12,1,False,uninformed,market_maker
8644,899.1778551306614,1,1,3,True,market_maker,informed
8644,893.8136239481132,1,1,3,True,market_maker,informed
8644,885.3043975240771,1,1,3,True,market_maker,informed
8644,884.5364468845256,1,1,3,True,market_maker,informed
8644,883.0099682179016,1,1,3,True,market_maker,informed
8644,879.9609456447189,1,1,3,True,market_maker,informed
8644,869.809545154714,1,1,3,True,market_maker,informed
8644,868.7517095529496,1,1,3,True,market_maker,informed
8645,887.8882465540254,1,14,1,False,uninformed,market_maker
8648,892.068429098112,1,1,2,False,market_maker,informed
8648,889.8588770986931,1,1,2,False,market_maker,informed
8648,882.0817956515256,1,1,2,False,market_maker,informed
8648,866.6235812622866,1,1,2,False,market_maker,informed
8650,879.0761055817278,1,3,1,True,informed,market_maker
8650,879.7355305353394,1,3,1,True,informed,market_maker
8650,896.4912436160047,1,3,1,True,informed,market_maker
8650,898.7475669183726,1,3,1,True,informed,market_maker
8650,899.8135866075245,1,3,1,True,informed,market_maker
8650,905.2111186883102,1,3,1,True,informed,market_maker
8651,904.8019744184857,1,1,6,False,market_maker,uninformed
8657,895.8373022194784,1,1,6,False,market_maker,uninformed
8657,895.4774343681115,1,1,6,False,market_maker,uninformed
8657,894.8384083857095,1,1,6,False,market_maker,uninformed
8661,893.5594490067194,1,1,8,False,market_maker,uninformed
8661,893.5391283824825,1,1,8,False,market_maker,uninformed
8661,893.5378292206324,1,1,8,False,market_maker,uninformed
8662,893.5367455329402,1,1,2,True,market_maker,informed
8662,893.5365614222587,1,1,2,True,market_maker,informed
8662,892.1886164850599,1,1,2,True,market_maker,informed
8662,890.9958935473337,1,1,2,True,market_maker,informed
8662,872.8070922723668,1,1,2,True,market_maker,informed
8662,872.590683831272,1,1,2,True,market_maker,informed
8662,854.3001501001371,1,1,2,True,market_maker,informed
8662,849.2987708245937,1,1,2,True,market_maker,informed
8663,839.089956128194,1,1,3,False,market_maker,informed
8663,835.822796217062,1,1,3,False,market_maker,informed
8663,834.1507529136559,1,1,3,False,market_maker,informed
8665,825.3927093647761,1,1,14,False,market_maker,uninformed
8668,824.9021458049043,1,2,1,True,informed,market_maker
8668,833.7331381804855,1,2,1,True,informed,market_maker
8668,899.1222310131702,1,2,1,True,informed,market_maker
8668,900.4703600610504,1,2,1,True,informed,market_maker
8668,901.8315741574369,1,2,1,True,informed,market_maker
8668,901.832873319287,1,2,1,True,informed,market_maker
8668,901.8339570069792,1,2,1,True,informed,market_maker
8668,901.8341411176607,1,2,1,True,informed,market_maker
8670,862.3004998621496,1,4,1,True,informed,market_maker
8670,901.929029927466,1,4,1,True,informed,market_maker
8670,903.2213166742399,1,4,1,True,informed,market_maker
8670,903.8650869489647,1,4,1,True,informed,market_maker
8670,904.1461621579473,1,4,1,True,informed,market_maker
8670,911.956740788953,1,4,1,True,informed,market_maker
8674,917.8875006186814,1,2,1,True,informed,market_maker
8674,919.7457893102675,1,2,1,True,informed,market_maker
8674,919.7459797813088,1,2,1,True,informed,market_maker
8674,919.746639268987,1,2,1,True,informed,market_maker
8681,928.5249400253977,1,2,1,True,informed,market_maker
8681,931.3095728930928,1,2,1,True,informed,market_maker
8681,932.6979862197812,1,5,1,False,uninformed,market_maker
8681,933.3890737508098,1,5,1,False,uninformed,market_maker
8681,933.7335291695833,1,5,1,False,uninformed,market_maker
8683,944.9775091534491,1,2,1,True,informed,market_maker
8683,949.9053715671196,1,2,1,True,informed,market_maker
8685,956.9651808862632,1,1,13,False,market_maker,uninformed
