timestamp,fundamental_price
0,250.0
1,250.44035906313482
2,248.0696364598863
3,250.5773405087542
4,249.50839327369644
5,251.19670440619322
6,248.52614302328126
7,247.68204472170956
8,248.13945172426907
9,247.9809338176375
10,247.79440667935302
11,248.60975194174415
12,247.1738611577402
13,246.69097811092132
14,249.32326425313158
15,249.46003717486224
16,249.01285733094983
17,249.16238238093234
18,250.25383563155037
19,249.0252267685197
20,249.65725907370987
21,249.55727944010968
22,249.26431532727173
23,251.50476704561353
24,250.05356492684493
25,249.63760513686438
26,248.9728121841154
27,249.88644854668132
28,250.18233163637953
29,250.24922340826183
30,250.03914119534156
31,248.99505431277768
32,247.23333816962491
33,246.10108238365856
34,244.28962416091701
35,244.69849289140868
36,245.71053841115472
37,241.75293955703438
38,242.46132530576176
39,242.81988716464238
40,241.25618958744647
41,241.4740035804111
42,239.4378193801034
43,239.71013327740604
44,237.3936729413716
45,237.77659873381984
46,238.0220160968397
47,238.35675477302618
48,237.96918317459938
49,237.52998342144244
50,235.010113370657
51,236.9665159362409
52,235.1337749730504
53,234.18587674025102
54,234.86881764028158
55,234.96441090967429
56,237.12944275708824
57,237.7652680213481
58,237.1050825808641
59,237.4707943582992
60,237.50281272511253
61,238.38225122024593
62,239.1724758940058
63,241.06875568718434
64,239.7403510146883
65,241.43701969465704
66,242.44794874449107
67,242.44559400519051
68,243.40139673989407
69,243.9664733907766
70,244.25901962623436
71,243.34504818888914
72,253.8539496860804
73,254.24871248362564
74,253.22722899598702
75,252.78412903734522
76,254.23576431297704
77,254.30062277538246
78,256.61512818732245
79,254.82869818388258
80,255.4280763185915
81,255.8391786460484
82,253.92362786309369
83,246.49677038148013
84,248.37503035843287
85,248.41833860390807
86,246.33624022794547
87,248.2001247145567
88,249.2620988442649
89,249.2899774947171
90,249.69052783458403
91,246.45166143144587
92,247.6299097284407
93,245.16349648124302
94,245.31386550346147
95,242.9787212350462
96,243.0964039082055
97,240.73566595685827
98,240.56619742121651
99,242.64976869234386
100,241.75449734694365
101,239.21891182485655
102,239.46816215708756
103,240.53843585863441
104,238.92697805672105
105,240.92908429355128
106,240.45802843856322
107,240.6124377326918
108,238.73582311277286
109,237.95151711970004
110,234.66378367596542
111,232.75502673246325
112,231.983307345315
113,231.712716197825
114,233.5561288692913
115,231.76094621532195
116,230.81020064133415
117,230.66503496080384
118,230.12667164546565
119,231.8184897441025
120,231.96824254042065
121,231.55152140294214
122,232.1161935446494
123,231.59949168063386
124,233.96813931303194
125,231.10472882780363
126,232.35239755670662
127,234.5641003816371
128,234.42603266830574
129,234.63739850250636
130,235.08954275258756
131,234.39362613418785
132,235.94848472077825
133,234.53358520332992
134,235.5099443196274
135,236.78739772796905
136,238.47193517562044
137,238.78747543480986
138,239.6210812892871
139,239.12125342958907
140,239.01571499769392
141,241.20145542956132
142,241.59022302106663
143,240.4271078128748
144,241.91018339872616
145,242.62160374831197
146,241.3145211834684
147,240.47193853081941
148,239.69306272462575
149,239.29223514370906
150,238.2728540751106
151,239.455370371339
152,239.54835010717258
153,240.26216627130074
154,239.37582964935075
155,241.60660894064947
156,240.74907580706082
157,241.78157381278254
158,241.60972616954245
159,239.96525085524647
