,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.2305187571055587,62.935,0.8870020328802067,0.4391891891891892,0.026558541451895318,486.0,0.01955221668555746,0.4391891891891892
linear_micro,1.1737013607954205,62.97005503182794,0.9756347495605171,0.27124183006535946,0.013510735857932705,470.0,0.018639039781721302,0.27124183006535946
linear_adaptive,0.43270130740240553,61.391339009670276,0.5507732080988113,0.36633663366336633,0.007464857276174992,174.0,0.007048246778495042,0.36633663366336633
profit_optimizer,2.003167667006056,56.29593103441901,1.1671411497883704,0.34593572778827975,0.016613345024476846,861.0,0.03558281442723331,0.34593572778827975
smart_threshold,0.3748829586135871,63.24392499999999,0.5047178709435062,0.28888888888888886,0.01566293296968109,144.0,0.005927572626360352,0.28888888888888886
ml_ensemble,0.8077519724730919,60.59641182510501,0.798215004436596,0.31313131313131315,0.011714816758853757,319.0,0.013330029751669907,0.31313131313131315
