,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.2519598664360476,98.901875,0.5629991987221976,0.31790123456790126,0.10606086724284634,503.0,0.012658605981292544,0.31790123456790126
linear_micro,0.6670981882578975,86.47048051124156,0.3411185513383427,0.3413173652694611,0.11451823292697862,264.0,0.007714750563588826,0.3413173652694611
linear_adaptive,0.24634195447703622,63.66019864904809,0.3231177953875818,0.35714285714285715,0.021311449749440728,94.0,0.003869638482202879,0.35714285714285715
profit_optimizer,1.2177635139329013,55.62445997943559,0.942679856893289,0.3707165109034268,0.020441845603793526,517.0,0.021892590316977628,0.3707165109034268
smart_threshold,0.3615145823894661,63.726962499999985,0.5268843875488157,0.3695652173913043,0.018146235869750938,146.0,0.005672866997065272,0.3695652173913043
ml_ensemble,1.4987101980972195,59.57963082030646,1.060580454370782,0.31683168316831684,0.006900129303473518,641.0,0.025154741267487273,0.31683168316831684
