,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.3655339193449967,61.41375,1.0031222349272473,0.3333333333333333,0.010387378347396916,544.0,0.02223498677975204,0.3333333333333333
linear_micro,0.20531873085916086,62.83433588042011,0.3803363593611187,0.2549019607843137,0.023744209064161484,82.0,0.003267619972142341,0.2549019607843137
linear_adaptive,0.06549158448505565,61.78139476508601,0.2540511695794979,0.13333333333333333,0.008396084555349171,24.0,0.0010600535118068643,0.13333333333333333
profit_optimizer,2.155463120935397,55.81052220342954,1.2256203898119296,0.31886792452830187,0.02056058298019039,863.0,0.038621088566036466,0.31886792452830187
smart_threshold,0.6292535437364188,63.8473625,0.6992667199429066,0.27218934911242604,0.023684476964453065,268.0,0.009855591822393898,0.27218934911242604
ml_ensemble,0.8699860711450347,58.64412230596543,0.7762160242442238,0.36486486486486486,0.020565535844541027,372.0,0.014835008811386668,0.36486486486486486
