run_number,algorithm,total_return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume_traded,spread_efficiency,toxicity_rate,total_trades,spread_volatility,inventory_volatility,avg_toxicity_score
1,baseline,1.105928285711144,58.689375,1.0896438664713748,0.3771626297577855,0.007778773745820491,454,0.01884375639902698,0.3771626297577855,289,7.859100790445114,18.606474975126265,0.6041934578162859
1,linear_micro,0.725324998055199,85.82437548968542,0.6494534654397783,0.35,0.027842878055712453,313,0.008451270328700152,0.35,200,18.6401018827146,44.383094427946325,0.6043586882085147
1,linear_adaptive,0.9305653869580599,61.37032624794079,0.8035959383802558,0.33203125,0.012858646352058854,412,0.015163116180912987,0.33203125,256,2.713082662815874,12.221783666879396,0.6042046557655597
1,profit_optimizer,0.7105445089940376,55.390291380154544,0.6641650845709631,0.3282828282828283,0.017721871679762108,309,0.012827961205645768,0.3282828282828283,198,1.9879564009467794,17.03410928108658,0.6041448233391974
1,smart_threshold,0.7783487579676951,64.7567,0.7529992705448548,0.36318407960199006,0.011838587919687282,329,0.012019586513329048,0.36318407960199006,201,7.397514856186503,26.106824471773656,0.6042511892724165
1,ml_ensemble,1.2342322645208847,60.28770380660306,0.9217416552415983,0.3850574712643678,0.029267896853365755,544,0.020472371422208726,0.3850574712643678,348,5.293807031122396,21.742748308344094,0.6041964485846083
2,baseline,2.247062026985902,60.185,1.3646456909952498,0.3374340949033392,0.011075398242355178,901,0.037335914712734106,0.3374340949033392,569,7.70922702026604,20.293361574662782,0.6042133799648061
2,linear_micro,0.09847348884324258,63.72091687529303,0.2402387117683512,0.21739130434782608,0.021155597314239372,32,0.0015453871926539152,0.21739130434782608,23,2.902610390465606,6.904069524563031,0.6042500562498849
2,linear_adaptive,0.1008973291438009,63.0055383059335,0.23644384399494622,0.3,0.01353464029746939,32,0.001601404128219296,0.3,20,2.3516453427271693,10.020148501893573,0.6042496052516962
2,profit_optimizer,1.7351451779200389,56.14090355328475,1.1302459840181789,0.3406113537117904,0.01631801256376405,737,0.030906969216716804,0.3406113537117904,458,2.2017695766513867,14.428294285881474,0.6041448233391974
2,smart_threshold,0.5265051178424685,62.94366250000001,0.5486475592286411,0.3819444444444444,0.03818509512347752,233,0.008364704196271838,0.3819444444444444,144,6.194005922449845,23.594888514252407,0.6042087282096257
2,ml_ensemble,1.8998705246388914,59.99711409155902,1.1699671654304007,0.3359223300970874,0.012977007752014295,803,0.031666031831790786,0.3359223300970874,515,3.978216886824779,14.01350776929174,0.6041766119911401
3,baseline,0.8671670771995821,61.86375,0.7914936334171825,0.34375,0.02714735231937813,360,0.014017370062428838,0.34375,224,5.4523388043572645,18.768530150227537,0.6042106825252838
3,linear_micro,0.8217868901705172,64.1323698354944,0.7350063878036157,0.37142857142857144,0.016173767388074738,342,0.012813917406739816,0.37142857142857144,210,3.8657891289160675,17.9567767430572,0.6042445171716455
3,linear_adaptive,0.7671601445423004,60.72811162538032,0.7768485648397867,0.3768844221105528,0.00964443596939276,322,0.012632702121132289,0.3768844221105528,199,2.849541491796653,10.710424081239735,0.6041759886600707
3,profit_optimizer,1.5981586741719456,55.74283683498857,0.9611203876939683,0.354916067146283,0.0157806146356198,677,0.028670207060018445,0.354916067146283,417,3.563706999028686,21.574865376173268,0.6041546841900002
3,smart_threshold,1.0842018537879916,68.06416250000001,0.8832919507506029,0.40298507462686567,0.01906988910180147,438,0.015929114734762093,0.40298507462686567,268,8.33955736714148,29.737671664069463,0.6042929988901038
3,ml_ensemble,0.40498486247937393,59.629172364453595,0.5425496880742091,0.2777777777777778,0.01566970726487524,170,0.00679172368860171,0.2777777777777778,108,1.999155151229139,18.47594804062839,0.604149032655625
4,baseline,1.1102374348960886,73.92125,0.90621048482963,0.34275618374558303,0.027852477981028443,460,0.015019191841264705,0.34275618374558303,283,26.55224010676877,45.454156729610546,0.6042401788259522
4,linear_micro,0.064399946478777,64.32741807939533,0.1922301557026497,0.375,0.019668606845221634,24,0.0010011274881154433,0.375,16,1.3213413772397002,3.142912661847287,0.6042873387668143
4,linear_adaptive,0.5354373253283251,62.3244566727465,0.6227479652534795,0.2805755395683453,0.005438526612778166,224,0.00859112704567649,0.2805755395683453,139,3.7155466826963193,16.0285282855289,0.6042270492382067
4,profit_optimizer,1.4137716575205017,54.5116553710345,0.9809399012774936,0.3733681462140992,0.021667440260546973,627,0.025935217851992223,0.3733681462140992,383,2.850852252986055,16.607610273606493,0.6041476796610589
4,smart_threshold,0.6395240977831396,64.16518749999999,0.7246062438718945,0.35714285714285715,0.013812041056752978,272,0.009966839071157389,0.35714285714285715,168,6.03866578774598,22.471631093447577,0.6042405681887042
4,ml_ensemble,1.1795161526010567,62.753185082316115,0.9251388513733153,0.3540983606557377,0.012898751689543306,505,0.018796116102375256,0.3540983606557377,305,5.035153039910956,23.251432988097744,0.6042096619785404
5,baseline,1.5190166798115134,76.258125,0.839543180524011,0.287598944591029,0.07400440005373542,581,0.01991940766720285,0.287598944591029,379,20.25573636922082,36.77374061745691,0.6042890670260338
5,linear_micro,0.5504509073424257,83.73983000151925,0.3122256715765273,0.36,0.09205609636702809,240,0.006573346367343224,0.36,150,20.987986649083062,50.87566977446095,0.6043046258570675
5,linear_adaptive,0.7706883477572202,62.59233041184491,0.7088537037676591,0.3140096618357488,0.011451848869166678,322,0.012312823994349567,0.3140096618357488,207,3.2288044609243403,18.201940528416195,0.6042220833670254
5,profit_optimizer,2.081219544657098,55.7845614228416,1.1800985222950255,0.32065217391304346,0.02478036276733544,868,0.0373081636132559,0.32065217391304346,552,2.416152256920427,17.354941659366073,0.6041455750028452
5,smart_threshold,0.32263376361092444,62.63528749999999,0.4674605415601099,0.3625,0.022025476765179245,129,0.005150990383989608,0.3625,80,3.5771360242649095,10.995349516954885,0.6042374136371101
5,ml_ensemble,1.109160931844988,61.36465512841506,0.8739939338850077,0.3613138686131387,0.013851062589642619,444,0.018074915104206106,0.3613138686131387,274,6.478197570216498,20.232241991435355,0.6041910231656288
6,baseline,1.4128756362077555,65.203125,0.9921750224650107,0.4191780821917808,0.01489584306344855,594,0.021668833145769555,0.4191780821917808,365,11.449777819214441,28.58324668402804,0.6042604463467479
6,linear_micro,0.13758817254263533,61.11713980141156,0.3315269886163985,0.42424242424242425,0.016226023289404402,52,0.0022512207375819902,0.42424242424242425,33,2.7780832443100434,8.044860222527177,0.604220440702163
6,linear_adaptive,0.13847395925674633,61.08141303386533,0.35258708484614876,0.4,0.008738352798194859,60,0.0022670392248452455,0.4,35,2.0564695297048052,11.124993078649531,0.6041696282395738
6,profit_optimizer,1.5039448044477988,54.614480629493016,1.0122073748385991,0.32914572864321606,0.021093249968444368,642,0.027537473342475322,0.32914572864321606,398,2.5313655777308854,16.081511091934118,0.6041448233391974
