,return_pct,avg_spread_bps,sharpe_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.1942961239660654,71.2775,0.26917754450188486,0.0,0.028636293833540067,471.0,0.016755583795251872,0.33444816053511706
linear_micro,0.5888978448357785,69.91747643851554,0.16655292998890722,0.0,0.04234614041527914,224.0,0.008422756009417004,0.391304347826087
linear_adaptive,0.685474440890288,62.14421280944995,0.24663796948948313,0.0,0.013033230304284408,276.0,0.011030382555365661,0.4269005847953216
profit_optimizer,2.39891376580994,56.1381187886376,0.37360615543297176,0.0,0.01853495127286018,1079.0,0.042732350452318366,0.33187134502923976
smart_threshold,0.05611636465703285,64.75651249999999,0.029939014937698624,0.0,0.022711283011763304,28.0,0.0008665748430635893,0.6
ml_ensemble,1.0896742760051925,59.53311850724675,0.2875323307917391,0.0,0.013610515657451331,455.0,0.018303665309798118,0.2852233676975945
