,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.3563828819009629,61.346875,0.5248565170457223,0.30927835051546393,0.017011209117518147,149.0,0.005809307840064598,0.30927835051546393
linear_micro,0.7283439124780244,88.33936499999999,0.45899199990930584,0.34673366834170855,0.059199537605874375,322.0,0.008244839800218447,0.34673366834170855
linear_adaptive,0.8005276027706065,69.476871164,0.5719831582809182,0.33185840707964603,0.05726939644945892,356.0,0.011522217240914071,0.33185840707964603
profit_optimizer,1.0291813160693053,54.6687245,0.9116664039994785,0.38571428571428573,0.009792422415511733,457.0,0.01882577882477037,0.38571428571428573
smart_threshold,1.705959170164273,53.29875,1.1649621600226667,0.34782608695652173,0.012076621558210786,784.0,0.03200748929692109,0.34782608695652173
ml_ensemble,0.9926941662112165,55.22890310065603,0.9014754190460227,0.375886524822695,0.00965769929822618,439.0,0.01797417856374962,0.375886524822695
