,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.1102374348960886,73.92125,0.90621048482963,0.34275618374558303,0.027852477981028443,460.0,0.015019191841264705,0.34275618374558303
linear_micro,0.064399946478777,64.32741807939533,0.1922301557026497,0.375,0.019668606845221634,24.0,0.0010011274881154433,0.375
linear_adaptive,0.5354373253283251,62.3244566727465,0.6227479652534795,0.2805755395683453,0.005438526612778166,224.0,0.00859112704567649,0.2805755395683453
profit_optimizer,1.4137716575205017,54.5116553710345,0.9809399012774936,0.3733681462140992,0.021667440260546973,627.0,0.025935217851992223,0.3733681462140992
smart_threshold,0.6395240977831396,64.16518749999999,0.7246062438718945,0.35714285714285715,0.013812041056752978,272.0,0.009966839071157389,0.35714285714285715
ml_ensemble,1.1795161526010567,62.753185082316115,0.9251388513733153,0.3540983606557377,0.012898751689543306,505.0,0.018796116102375256,0.3540983606557377
