,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,2.247062026985902,60.185,1.3646456909952498,0.3374340949033392,0.011075398242355178,901.0,0.037335914712734106,0.3374340949033392
linear_micro,0.09847348884324258,63.72091687529303,0.2402387117683512,0.21739130434782608,0.021155597314239372,32.0,0.0015453871926539152,0.21739130434782608
linear_adaptive,0.1008973291438009,63.0055383059335,0.23644384399494622,0.3,0.01353464029746939,32.0,0.001601404128219296,0.3
profit_optimizer,1.7351451779200389,56.14090355328475,1.1302459840181789,0.3406113537117904,0.01631801256376405,737.0,0.030906969216716804,0.3406113537117904
smart_threshold,0.5265051178424685,62.94366250000001,0.5486475592286411,0.3819444444444444,0.03818509512347752,233.0,0.008364704196271838,0.3819444444444444
ml_ensemble,1.8998705246388914,59.99711409155902,1.1699671654304007,0.3359223300970874,0.012977007752014295,803.0,0.031666031831790786,0.3359223300970874
