,return_pct,avg_spread_bps,sharpe_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.6299179980549194,60.02125,0.3636477941091923,0.0,0.011009439275259802,650.0,0.027155682330090084,0.0
linear_micro,0.49340585586628016,59.962227453713425,0.21488935400196255,0.0,0.0062811141072082665,200.0,0.008228611191056143,0.0
linear_adaptive,0.11950874591835081,59.35305354891214,0.12732499159738742,0.0,0.0008555519636109924,48.0,0.002013523125981464,0.0
profit_optimizer,1.9990891129800348,56.0951246179953,0.3884626689480447,0.0,0.01143691142872338,878.0,0.03563748412350844,0.0
smart_threshold,0.49759795294299636,61.53552499999999,0.1911135458655857,0.0,0.010166304302315429,204.0,0.008086352605962108,0.0
ml_ensemble,0.9316088791447408,60.83952564949771,0.240556359152233,0.0,0.020820718561620346,381.0,0.015312559872866664,0.0
