,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.5190166798115134,76.258125,0.839543180524011,0.287598944591029,0.07400440005373542,581.0,0.01991940766720285,0.287598944591029
linear_micro,0.5504509073424257,83.73983000151925,0.3122256715765273,0.36,0.09205609636702809,240.0,0.006573346367343224,0.36
linear_adaptive,0.7706883477572202,62.59233041184491,0.7088537037676591,0.3140096618357488,0.011451848869166678,322.0,0.012312823994349567,0.3140096618357488
profit_optimizer,2.081219544657098,55.7845614228416,1.1800985222950255,0.32065217391304346,0.02478036276733544,868.0,0.0373081636132559,0.32065217391304346
smart_threshold,0.32263376361092444,62.63528749999999,0.4674605415601099,0.3625,0.022025476765179245,129.0,0.005150990383989608,0.3625
ml_ensemble,1.109160931844988,61.36465512841506,0.8739939338850077,0.3613138686131387,0.013851062589642619,444.0,0.018074915104206106,0.3613138686131387
