,return_pct,avg_spread_bps,sharpe_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.5960442174175906,80.780625,3.023719262135276,0.0,0.029845791721163768,0.0,0.007378554169611719,0.0
linear_micro,0.49672356064476286,78.114025,2.6234647010099903,0.0,0.06230042372072,0.0,0.006358954882234821,0.0
linear_adaptive,0.9409083993014544,61.036463,4.1904732021395334,0.0,0.007280757597545272,0.0,0.01541551317122446,0.0
profit_optimizer,1.6776500724269727,56.90978125000001,5.631038150131694,0.0,0.010957240970599094,0.0,0.0294791165170218,0.0
smart_threshold,1.717174499434182,54.46325,5.395893735540771,0.0,0.022765975880015114,0.0,0.03152904939448494,0.0
ml_ensemble,0.8889352580704113,55.686785562784465,4.382142950472521,0.0,0.01059205903021281,0.0,0.015963127501194604,0.0
