,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.23359228242165742,60.988125,0.3585272559300562,0.43103448275862066,0.023963687971770183,104.0,0.0038301272980872493,0.43103448275862066
linear_micro,0.2234860416149509,55.55399249999999,0.45225836902107086,0.3770491803278688,0.00668258292738595,96.0,0.0040228619322895814,0.3770491803278688
linear_adaptive,0.21183362216807833,56.4949775,0.39602855035064466,0.3103448275862069,0.008946249057411095,96.0,0.0037496009652907346,0.3103448275862069
profit_optimizer,1.0067702220647679,53.6415655,0.9693988145751979,0.33098591549295775,0.007857792786687126,456.0,0.018768472036200506,0.33098591549295775
smart_threshold,1.9065020012181133,54.1515,1.1740192478574725,0.34951456310679613,0.008315130048988546,832.0,0.035206817931509066,0.34951456310679613
ml_ensemble,1.6908905334444668,57.69482057145427,1.0781829357095396,0.33988212180746563,0.012769079615810447,800.0,0.02930749271245798,0.33988212180746563
