,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.322926667312263,62.575625,0.9428818865451782,0.3303834808259587,0.018703366033526816,539.0,0.021141245769614975,0.3303834808259587
linear_micro,0.838153427874011,61.86788292240924,0.7614477186814527,0.26956521739130435,0.024544771554428628,347.0,0.013547472263196234,0.26956521739130435
linear_adaptive,0.761342447128821,61.576060398184914,0.7094428470844675,0.31683168316831684,0.011227890169952116,320.0,0.012364260431823001,0.31683168316831684
profit_optimizer,1.2286836044678617,56.712092348263035,0.8845285490117151,0.3282208588957055,0.018202466495666085,512.0,0.02166528430872633,0.3282208588957055
smart_threshold,0.8101133028693086,61.813275000000004,0.7290288204756324,0.3150684931506849,0.02863984535049696,342.0,0.01310581429101287,0.3150684931506849
ml_ensemble,0.5443899085330717,58.627576163972265,0.6607118247701643,0.23972602739726026,0.009095494097561595,229.0,0.009285560552776347,0.23972602739726026
