,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.2755643672812891,56.749375,0.5287065678165798,0.35135135135135137,0.007896991472602732,118.0,0.004855813254001283,0.35135135135135137
linear_micro,0.40005727091343424,58.58294249999999,0.5639710213887943,0.29464285714285715,0.007938825449556026,180.0,0.0068289036678796785,0.29464285714285715
linear_adaptive,0.18141662127155733,57.03592000000001,0.43308281914488356,0.4375,0.007107965385539244,76.0,0.003180743315292491,0.4375
profit_optimizer,1.0291382824269002,55.59070125,0.8549730495659543,0.38305084745762713,0.01525474338080323,480.0,0.01851277748411026,0.38305084745762713
smart_threshold,1.5312932977721516,54.3165,1.081440719717763,0.3264367816091954,0.018382779050679265,695.0,0.028192046574653223,0.3264367816091954
ml_ensemble,1.7586619685833416,56.778736279119244,1.2040126823985287,0.3416030534351145,0.00945098611796832,831.0,0.030973954051000976,0.3416030534351145
