,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.105928285711144,58.689375,1.0896438664713748,0.3771626297577855,0.007778773745820491,454.0,0.01884375639902698,0.3771626297577855
linear_micro,0.725324998055199,85.82437548968542,0.6494534654397783,0.35,0.027842878055712453,313.0,0.008451270328700152,0.35
linear_adaptive,0.9305653869580599,61.37032624794079,0.8035959383802558,0.33203125,0.012858646352058854,412.0,0.015163116180912987,0.33203125
profit_optimizer,0.7105445089940376,55.390291380154544,0.6641650845709631,0.3282828282828283,0.017721871679762108,309.0,0.012827961205645768,0.3282828282828283
smart_threshold,0.7783487579676951,64.7567,0.7529992705448548,0.36318407960199006,0.011838587919687282,329.0,0.012019586513329048,0.36318407960199006
ml_ensemble,1.2342322645208847,60.28770380660306,0.9217416552415983,0.3850574712643678,0.029267896853365755,544.0,0.020472371422208726,0.3850574712643678
