,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.7564582862665157,77.9,1.0266602805010605,0.33853006681514475,0.07449404952364384,720.0,0.022547603161315988,0.33853006681514475
linear_micro,0.7190893125018416,76.48309864546478,0.4397839546164916,0.3595505617977528,0.07785831220458596,289.0,0.009401937489943491,0.3595505617977528
linear_adaptive,0.43947015319141247,64.9338158592721,0.38992744942580393,0.32727272727272727,0.06111156610966156,178.0,0.006767970546253661,0.32727272727272727
profit_optimizer,1.6534901334834373,55.83928644409837,1.1464619302150565,0.3458333333333333,0.01740502403313243,767.0,0.029611591386268402,0.3458333333333333
smart_threshold,0.46609745011145787,71.88878749999998,0.374187657299245,0.2831858407079646,0.06641912169211293,187.0,0.006483590366737762,0.2831858407079646
ml_ensemble,1.280690697352771,60.1772995342951,0.9232698442367392,0.3380681818181818,0.03568803259008341,554.0,0.021281956938312,0.3380681818181818
