,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.48706320703442163,77.1375,0.5339159166420114,0.3305785123966942,0.03117693066459261,194.0,0.006314220800964792,0.3305785123966942
linear_micro,0.4974475452365512,57.39677249999999,0.6122759827685382,0.3116883116883117,0.0163247277087238,228.0,0.008666820860642492,0.3116883116883117
linear_adaptive,1.0176974325970312,56.94839050000001,0.8038741918473855,0.3724137931034483,0.010171735156061925,467.0,0.017870521425834344,0.3724137931034483
profit_optimizer,1.3032681315012562,54.77593075,1.0364297982808595,0.3185378590078329,0.008666000052916912,598.0,0.023792715407236712,0.3185378590078329
smart_threshold,1.4823033228254845,54.213,1.0347533427714728,0.35730858468677495,0.0138748025798779,680.0,0.027342211698771227,0.35730858468677495
ml_ensemble,0.7431220802836203,56.4927385327855,0.7654980710641378,0.28703703703703703,0.017734014571105693,332.0,0.013154293801005064,0.28703703703703703
