,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.3371994672515477,69.78625,0.46215781013068136,0.3118279569892473,0.033235997997126086,150.0,0.004831889766989166,0.3118279569892473
linear_micro,0.5010619616624412,69.89496749999999,0.5316721916281811,0.3893129770992366,0.0393702794094142,222.0,0.007168784528906767,0.3893129770992366
linear_adaptive,0.4665860878697803,58.484126,0.5892842252167984,0.26666666666666666,0.009053862281109503,206.0,0.007977995394336239,0.26666666666666666
profit_optimizer,0.3610665871254026,54.5506745,0.4984531579218275,0.3523809523809524,0.009746732875393847,168.0,0.006618920672106495,0.3523809523809524
smart_threshold,0.8197065358209965,54.304,0.824432799873943,0.31983805668016196,0.011788277395772682,392.0,0.01509477268379855,0.31983805668016196
ml_ensemble,1.2573620978276967,56.43336979381656,1.0859242710216739,0.2661498708010336,0.008823165339242633,597.0,0.022280471685840506,0.2661498708010336
