,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.8671670771995821,61.86375,0.7914936334171825,0.34375,0.02714735231937813,360.0,0.014017370062428838,0.34375
linear_micro,0.8217868901705172,64.1323698354944,0.7350063878036157,0.37142857142857144,0.016173767388074738,342.0,0.012813917406739816,0.37142857142857144
linear_adaptive,0.7671601445423004,60.72811162538032,0.7768485648397867,0.3768844221105528,0.00964443596939276,322.0,0.012632702121132289,0.3768844221105528
profit_optimizer,1.5981586741719456,55.74283683498857,0.9611203876939683,0.354916067146283,0.0157806146356198,677.0,0.028670207060018445,0.354916067146283
smart_threshold,1.0842018537879916,68.06416250000001,0.8832919507506029,0.40298507462686567,0.01906988910180147,438.0,0.015929114734762093,0.40298507462686567
ml_ensemble,0.40498486247937393,59.629172364453595,0.5425496880742091,0.2777777777777778,0.01566970726487524,170.0,0.00679172368860171,0.2777777777777778
