,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,2.1782057246127584,61.005,1.2663536997979878,0.33639705882352944,0.012516950448858961,868.0,0.03570536389825028,0.33639705882352944
linear_micro,0.18796593789991434,65.25965826455904,0.33557837853463585,0.1896551724137931,0.022398101025603797,94.0,0.0028802776921986145,0.1896551724137931
linear_adaptive,0.0038775140738689373,59.3509863728799,0.06938401722445162,0.0,0.0020166396901415548,2.0,6.533192303676263e-05,0.0
profit_optimizer,1.465112582821071,55.72907759679958,1.0327726535960773,0.32041343669250644,0.012318710070844221,617.0,0.02628991266320923,0.32041343669250644
smart_threshold,0.06719836713178218,58.9594,0.24102543871916446,0.3333333333333333,0.00803714413903443,32.0,0.0011397396705492622,0.3333333333333333
ml_ensemble,1.8216499829470933,60.47887810894617,1.1693557282819766,0.3860369609856263,0.010291044961466605,765.0,0.03012043278424556,0.3860369609856263
