,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.7322198691349655,60.6125,1.14605599440325,0.34660421545667447,0.00894744204975754,689.0,0.028578591365394358,0.34660421545667447
linear_micro,0.6757942110772186,61.34714762884179,0.698080875358175,0.31736526946107785,0.01251885572664468,272.0,0.011015902730569665,0.31736526946107785
linear_adaptive,0.3637406368039331,62.36931511778495,0.5118694632838365,0.3020833333333333,0.020151974281204903,148.0,0.005832044750162897,0.3020833333333333
profit_optimizer,1.3139175933297054,56.42802858139412,0.9260612631724767,0.40502793296089384,0.015016909892014436,586.0,0.02328483957993422,0.40502793296089384
smart_threshold,0.07153575654454958,64.59758749999999,0.12892723099007894,0.21052631578947367,0.031491209671811564,28.0,0.0011074060086926558,0.21052631578947367
ml_ensemble,1.912121758717733,58.68223699406819,1.1194638363475906,0.38016528925619836,0.013836702275079821,795.0,0.03258433653289354,0.38016528925619836
