,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.9205151680572454,64.541875,0.7940748591353378,0.3568281938325991,0.027365431623399567,368.0,0.014262293558364168,0.3568281938325991
linear_micro,0.5475413025193498,75.11144053760552,0.5211232645185334,0.32575757575757575,0.02386704409711742,206.0,0.0072897190973885825,0.32575757575757575
linear_adaptive,0.8239178856834339,60.82557116825639,0.7647125855182392,0.36086956521739133,0.007013799869261182,366.0,0.013545584034127733,0.36086956521739133
profit_optimizer,1.8915214180595719,55.23123048432392,1.215942943181277,0.3465346534653465,0.013832096160294197,810.0,0.03424731626423633,0.3465346534653465
smart_threshold,0.656395989653924,71.20822499999998,0.5297498442130251,0.3128205128205128,0.04835084225168504,292.0,0.00921797994057462,0.3128205128205128
ml_ensemble,0.8343870897506545,58.99843852831204,0.7623175039694419,0.35046728971962615,0.01389611331869273,346.0,0.014142528354377558,0.35046728971962615
