,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,0.6769806554997482,60.385625,0.7339917037389894,0.3163841807909605,0.011610401593082137,278.0,0.011210957169024056,0.3163841807909605
linear_micro,0.4505664098974238,60.656338278833225,0.6338174899984732,0.3474576271186441,0.007338200771360934,182.0,0.00742818347896636,0.3474576271186441
linear_adaptive,0.2610456948776818,62.301137645785644,0.4251047678125408,0.3076923076923077,0.013158938744715597,104.0,0.004190063050884597,0.3076923076923077
profit_optimizer,2.3285917013255775,54.980241800326546,1.3197124787112895,0.3293718166383701,0.019849321889369248,946.0,0.04235324591300264,0.3293718166383701
smart_threshold,0.29408648125466286,62.7883125,0.5052233303106896,0.2962962962962963,0.01033597332415897,122.0,0.00468377743476802,0.2962962962962963
ml_ensemble,1.7476563411683799,66.89390612352476,1.0715730386191704,0.29894736842105263,0.016570910824121703,755.0,0.02612579295251794,0.29894736842105263
