,return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume,spread_efficiency,toxicity_rate
baseline,1.2428396421571453,88.361875,0.7573255411741604,0.378125,0.08199735362754657,516.0,0.014065338044910718,0.378125
linear_micro,0.5748316574159862,88.1084912641287,0.3794764392908138,0.32450331125827814,0.09607530221991663,230.0,0.006524134611416452,0.32450331125827814
linear_adaptive,0.21808239810998664,61.111507884952566,0.4323887946273921,0.40350877192982454,0.00992072724234272,87.0,0.0035685978902786145,0.40350877192982454
profit_optimizer,1.6267162129325108,55.87848200343828,1.0113331865416062,0.32286995515695066,0.015072499937533387,730.0,0.02911167509583415,0.32286995515695066
smart_threshold,0.22489026792600342,61.36403750000001,0.3885842906627563,0.29508196721311475,0.013225125327636866,90.0,0.0036648544829861202,0.29508196721311475
ml_ensemble,1.6144102115281722,59.92855918749483,1.0626172459783763,0.2986111111111111,0.009435443554538438,707.0,0.026938912488739558,0.2986111111111111
