timestamp,mid_price,spread,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,imbalance
0,250.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0
1,250.625,0.0,249.375,2.0,,,,,,,,,,,,,,,,,,,1.0
2,251.50218750000002,0.0,250.2490625,2.0,249.375,2.0,,,,,,,,,,,,,,,,,1.0
3,251.441504921875,2.384884843750001,250.2490625,1.0,249.375,2.0,,,,,,,252.63394734375,2.0,,,,,,,,,0.2
4,251.56722567433596,1.2572075246093846,250.93862191203127,1.0,250.2490625,1.0,249.375,2.0,,,,,252.19582943664065,2.0,252.63394734375,2.0,,,,,,,0.0
5,251.56738282527652,1.257521826490546,250.93862191203127,1.0,250.9383076101501,2.0,250.2490625,1.0,249.375,2.0,,,252.1961437385218,1.0,252.63394734375,2.0,,,,,,,0.3333333333333333
6,251.75597959048653,0.8803282960705587,251.31581544245125,2.0,250.93862191203127,1.0,250.9383076101501,2.0,250.2490625,1.0,249.375,2.0,252.1961437385218,1.0,252.5736523565776,2.0,252.63394734375,2.0,,,,,0.23076923076923078
7,251.75597959048653,0.8803282960705587,251.31581544245125,1.0,250.93862191203127,1.0,250.9383076101501,2.0,250.2490625,1.0,249.375,2.0,252.1961437385218,1.0,252.5736523565776,2.0,252.63394734375,2.0,252.76300350884847,2.0,,,0.0
8,251.94473389951443,1.257836914126358,251.31581544245125,1.0,251.12658964151032,2.0,250.93862191203127,1.0,250.9383076101501,2.0,250.2490625,1.0,252.5736523565776,2.0,252.63394734375,2.0,252.76300350884847,2.0,,,,,0.07692307692307693
9,251.94473389951443,1.257836914126358,251.31581544245125,1.0,251.12658964151032,2.0,250.93862191203127,1.0,250.9383076101501,2.0,250.2490625,1.0,252.5736523565776,2.0,252.63394734375,2.0,252.76300350884847,2.0,,,,,0.07692307692307693
10,251.85012099904395,1.4470627150672897,251.12658964151032,1.0,250.93862191203127,1.0,250.9383076101501,2.0,250.2490625,1.0,249.375,2.0,252.5736523565776,2.0,252.63394734375,2.0,252.76300350884847,2.0,252.9525128351125,2.0,,,-0.06666666666666667
11,251.74020544127617,1.2272315995317058,251.12658964151032,1.0,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,250.2490625,1.0,252.35382124104203,1.0,252.5736523565776,2.0,252.63394734375,2.0,252.76300350884847,2.0,252.9525128351125,2.0,-0.125
12,251.72419593854443,1.2592506049952021,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,250.2490625,1.0,249.375,2.0,252.35382124104203,1.0,252.36955595487936,2.0,252.5736523565776,2.0,252.63394734375,2.0,252.76300350884847,2.0,-0.058823529411764705
13,252.02354173557967,1.8579421990656613,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,250.71729915479023,2.0,250.2490625,1.0,252.9525128351125,1.0,,,,,,,,,0.7777777777777778
14,253.78770652772874,0.0,252.52758881905083,2.0,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,250.71729915479023,2.0,,,,,,,,,,,1.0
15,255.3104327668951,1.2689385326386287,254.6759635005758,2.0,252.52758881905083,2.0,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,255.94490203321442,2.0,,,,,,,,,0.6363636363636364
16,256.07826747299475,2.804607944837926,254.6759635005758,2.0,252.52758881905083,2.0,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,257.4805714454137,2.0,,,,,,,,,0.6363636363636364
17,255.00408013223227,4.952982626362882,252.52758881905083,1.0,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,250.71729915479023,2.0,257.4805714454137,2.0,,,,,,,,,0.6
18,256.15159849282736,1.2750204006611625,255.51408829249675,2.0,252.52758881905083,1.0,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,256.7891086931579,2.0,257.4805714454137,2.0,,,,,,,0.3333333333333333
19,256.72650519148544,0.1252070033448831,256.66390168981303,2.0,255.51408829249675,2.0,252.52758881905083,1.0,251.09457063604683,2.0,250.93862191203127,1.0,256.7891086931579,2.0,257.4805714454137,2.0,257.9446596822772,2.0,,,,,0.14285714285714285
20,257.07223656761334,0.8166697556006852,256.66390168981303,2.0,255.51408829249675,2.0,252.52758881905083,1.0,251.09457063604683,2.0,250.93862191203127,1.0,257.4805714454137,2.0,257.9446596822772,2.0,258.5235907278258,2.0,,,,,0.14285714285714285
21,257.4691542729262,0.02283434497513781,257.4577371004386,1.0,256.66390168981303,2.0,255.51408829249675,2.0,252.52758881905083,1.0,251.09457063604683,2.0,257.4805714454137,2.0,257.9446596822772,2.0,258.5235907278258,2.0,259.0003861638966,1.0,,,0.06666666666666667
22,256.49732986895526,1.9664831529169646,255.51408829249675,2.0,252.52758881905083,1.0,251.09457063604683,2.0,250.93862191203127,1.0,250.9383076101501,2.0,257.4805714454137,2.0,257.9446596822772,2.0,258.5235907278258,2.0,259.0003861638966,1.0,,,0.06666666666666667
23,257.26682185856214,1.5326499786825707,256.50049686922085,1.0,255.51408829249675,2.0,252.52758881905083,1.0,251.09457063604683,2.0,250.93862191203127,1.0,258.0331468479034,1.0,258.5235907278258,2.0,259.0003861638966,1.0,,,,,0.2727272727272727
24,257.9030093140811,0.26027506764467034,257.77287178025875,1.0,256.50049686922085,1.0,255.51408829249675,2.0,252.52758881905083,1.0,251.09457063604683,2.0,258.0331468479034,1.0,258.5235907278258,2.0,259.0003861638966,1.0,259.3334401554511,1.0,,,0.16666666666666666
